Ticker,Date,Open,High,Low,Close,Volume
BVG,8/9/2010,22.7,23.4,20.1,20.2,13900
BVG,8/10/2010,21.1,21.1,19.6,19.6,17800
BVG,8/11/2010,19.7,19.7,18.6,18.6,59800
BVG,8/12/2010,20,20,17.5,17.5,23000
BVG,8/13/2010,17.5,17.5,17.5,17.5,700
BVG,8/16/2010,16.9,18.4,16.5,17.9,68500
BVG,8/17/2010,17.1,17.2,16,16,59600
BVG,8/18/2010,16.3,16.5,15.5,15.5,24800
BVG,8/19/2010,15.8,16,15,15,25700
BVG,8/20/2010,15.9,15.9,15.2,15.9,21200
BVG,8/23/2010,16,16,15.3,15.3,39700
BVG,8/24/2010,15.5,15.5,14.5,14.5,4600
BVG,8/25/2010,14,14,13.8,13.8,17100
BVG,8/26/2010,13.9,14,13,13.5,17300
BVG,8/27/2010,13.9,14,12.7,12.7,12000
BVG,8/30/2010,14.1,14.1,14,14.1,28000
BVG,8/31/2010,14.9,15,14.7,15,45100
BVG,9/1/2010,15.8,15.8,15,15,18700
BVG,9/6/2010,15.4,16.1,15.4,16.1,35800
BVG,9/7/2010,15.8,16,15,15.8,23700
BVG,9/8/2010,14.7,15,14.7,14.7,24000
BVG,9/9/2010,13.9,14.9,13.7,14.9,156900
BVG,9/10/2010,14.8,14.8,14.8,14.8,86900
BVG,9/13/2010,15.8,15.8,15.1,15.8,124000
BVG,9/14/2010,16.9,16.9,16.7,16.9,55200
BVG,9/15/2010,17.7,17.7,16,16.3,112500
BVG,9/16/2010,16.1,16.1,15.2,15.5,33800
BVG,9/17/2010,15.8,16.5,15.8,16.5,80200
BVG,9/20/2010,16.2,17,15.8,15.8,91700
BVG,9/21/2010,15.5,16,15.5,15.7,23800
BVG,9/22/2010,15.8,15.8,14.9,15,80500
BVG,9/23/2010,15.3,15.5,14.7,15.2,39000
BVG,9/24/2010,15.6,15.6,14.9,15.1,92700
BVG,9/27/2010,15.8,15.8,15,15.2,145200
BVG,9/28/2010,15.6,15.6,14.7,14.7,44800
BVG,9/29/2010,15,15,14,14.1,58400
BVG,9/30/2010,14.5,15,14.5,15,72000
BVG,10/1/2010,15.5,15.5,14.3,14.5,53200
BVG,10/4/2010,13.8,14.4,13.6,13.9,56900
BVG,10/5/2010,14,14.8,13.7,14.1,68600
BVG,10/6/2010,14.7,14.7,14,14.4,5100
BVG,10/7/2010,14.8,14.8,14,14.2,83200
BVG,10/8/2010,14.4,14.4,13.5,13.5,64200
BVG,10/11/2010,13.6,14.3,13.6,13.9,60300
BVG,10/12/2010,13.7,13.7,13.4,13.7,17300
BVG,10/13/2010,14,14,13.6,13.7,3000
BVG,10/14/2010,13.7,14,13.6,13.9,77000
BVG,10/15/2010,13.7,14.2,13.7,14,112100
BVG,10/18/2010,14.2,14.4,13.9,14,59700
BVG,10/19/2010,14.4,14.4,13.7,13.8,24800
BVG,10/20/2010,13.8,13.8,13.1,13.4,14500
BVG,10/21/2010,13.5,13.7,13.2,13.4,73000
BVG,10/22/2010,13.7,13.8,13,13,90500
BVG,10/25/2010,13.6,13.7,13,13.2,51000
BVG,10/26/2010,13.8,14.1,13.3,14.1,112600
BVG,10/27/2010,14.7,14.8,13.6,13.7,172800
BVG,10/28/2010,14,14.3,13.8,13.8,158600
BVG,10/29/2010,14.2,14.3,13.8,13.9,125900
BVG,11/1/2010,14.1,14.3,14,14,126800
BVG,11/2/2010,14,14.1,13.7,13.9,122600
